Stage Name,Full Name,Korean Name,K. Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
Narsha,Park Hyojin,박효진,나르샤,12/28/81,Brown Eyed Girls,South Korea,,0,0,,,,F,,narsha81,
Gain,Son Gain,손가인,가인,9/20/87,Brown Eyed Girls,South Korea,,0,0,,,,F,,songain87,
Chorong,Park Chorong,박초롱,초롱,3/3/91,Apink,South Korea,,165,0,Chungwongoon,Chobom,,F,,mulgokizary,
Bomi,Yoon Bomi,윤보미,보미,8/13/93,Apink,South Korea,,163,0,Suwon,Chobom,,F,,,
Eunji,Jung Eunji,정은지,은지,8/18/93,Apink,South Korea,,163,0,Busan,,,F,,artist_eunji,
Naeun,Son Naeun,손나은,나은,2/10/94,,South Korea,,168,0,Seoul,,Apink,F,,marcella_the_naeun,
Namjoo,Kim Namjoo,김남주,남주,4/15/95,Apink,South Korea,,165,0,Seoul,,,F,,sarangdungy,
Hayoung,Oh Hayoung,오하영,하영,7/19/96,Apink,South Korea,,167,0,Seoul,,,F,,o_h_y_y,
Solji,Heo Solji,허솔지,솔지,1/10/89,EXID,South Korea,,170,0,Seongnam,,,F,,soul.g_heo,
LE,Ahn Hyejin,안효진,엘리,12/10/91,EXID,South Korea,,168,0,Cheonan,,,F,,x_xellybabyx,
Hani,Ahn Hee-yeon,안희연,하니,5/1/92,EXID,South Korea,,168,0,Seoul,,,F,,ahnhani_92,
Hyerin,Seo Hyerin,서혜린,혜린,8/23/93,EXID,South Korea,,165,0,Gwangju,,,F,,hyeliniseo,
Junghwa,Park Junghwa,박정화,정화,5/8/95,EXID,South Korea,,169,0,Anyang,,EXID,F,,jeonghwa_0508,
Hyeyeon,Kang Hyeyeon,강혜연,혜연,12/8/90,BESTie,South Korea,,0,0,,,EXID,F,,hyeyeon_2,
Uji,Jang Yuji,정유지,유지,1/2/91,,South Korea,,0,0,,,"EXID, BESTie",F,,yudi_didi,
Dahye,Song Dahye,송다혜,다혜,6/12/93,,South Korea,,0,0,,,"EXID, BESTie",F,,dahye0612,
Haeryeong,Na Haeryeong,나해령,해령,11/11/94,BESTie,South Korea,,0,0,,,,F,,bestie_hr,
Yubin,Kim Yubin,김유빈,유빈,10/4/88,Wonder Girls,South Korea,,163,0,Gwangju,,,F,,,
Yenny,Park Yeeun,박예은,예은,5/26/89,Wonder Girls,South Korea,,165,0,Goyang,,,F,,hatfelt,
Sunmi,Lee Sunmi,이선미,선미,5/2/92,Wonder Girls,South Korea,,167,0,Iksan,,,F,,miyayeah,
Hyerim,Woo Hyerim,우혜림,혜림 ,9/1/92,Wonder Girls,South Korea,,167,0,Seoul,,,F,,wg_lim,
Fei,Wang FeiFei,왕페이페이,페이,4/27/87,miss A,China,,165,0,Haikou,,,F,,ff0427,
Jia,Meng Jia,멍지아,지아,2/3/89,miss A,China,,166,0,Changja,,,F,,mjbaby0203,
Min,Lee Minyoung,이민영,민,6/21/91,miss A,South Korea,,161,0,Seoul,,,F,,therealminnn,
Suzy,Bae Suji,배수지,수지,10/10/94,miss A,South Korea,,168,0,Gwangju,,,F,,skuukzky,
Jamie,Park Jimin,박지민,박지민,7/5/97,15&,South Korea,,160,0,Junggu,,,F,,jiminxjamie,
Yerin,Baek Yerin,백예린,백예린,6/26/97,15&,South Korea,,165,0,Daejeon,,,F,,yerinb,
Jihyo,Park Jisoo,박지수,지효,2/1/97,Twice,South Korea,,162,0,Guri,,,F,"Leader, Main Vocal",,
Nayeon,Im Nayeon,임나연,나연,9/22/95,Twice,South Korea,,163,0,Seoul,,,F,,,
Jeongyeon,Yoo Jeongyeon,유정연,정연,11/1/96,Twice,South Korea,,168,0,Suwon,,,F,,,
Momo,Hirai Momo,히라이 모모,모모,11/9/96,Twice,Japan,,167,0,Kyoto,,,F,,,
Sana,Minatozaki Sana,미나토자키 사나,사나,12/29/96,Twice,Japan,,168,0,Osaka,,,F,,,
Mina,Myoui Mina,묘이 미나,미나,3/24/97,Twice,Japan,,163,0,San Antonio,,,F,,,
Dahyun,Kim Dahyun,김다현,다현,5/28/98,Twice,South Korea,,165,0,Seongnam,,,F,,,
Chaeyoung,Son Chaeyoung,손채영,채영,4/23/99,Twice,South Korea,,159,0,Seoul,,,F,,,
Tzuyu,Chou Tzuyu,저우쯔위,쯔위,6/14/99,Twice,Taiwan,,169,0,Tainan,,,F,,,
Seunghee,Oh Seunghee,오승희,승희,10/10/95,CLC,South Korea,,163,0,Gwangju,,,F,,,
Yujin,Choi Yujin,최유진,유진,8/12/96,Kep1er,South Korea,,164,0,Jeonju,,CLC,F,,,
Seungyeon,Jang Seunyeon,장승연,승연,11/6/96,CLC,South Korea,,163,0,Seongnam,,,F,,,
Sorn,Chonnasorn Sajakul,촌나손 사짜꾼,손,11/18/96,CLC,Thailand,,164,0,Bangkok,,,F,,,
YeeEun,Jang Yeeun,장예은,예은,8/10/98,CLC,South Korea,,166,0,Dongducheon,,,F,,,
Hyuna,Moon Hyuna,문현아,현아,1/19/87,,South Korea,,172,50,Yeosu,,9Muses,F,,moongom119,
Euaerin,Lee Hyemin,이혜민,이유애린,5/3/88,,South Korea,,174,48,Seoul,,9Muses,F,,,
Sungah,Son Sungah,손성아,성아,7/8/89,9Muses,South Korea,Fiji,172,48,Suma,,,F,,ssungahhbaby,
Kyungri,Park Kyungri,박경리,경리,7/5/90,9Muses,South Korea,,170,50,Busan,9MUSES A,,F,,gyeongree,
Hyemi,Pyo Hyemi,표혜미,혜미,4/3/91,9Muses,South Korea,,171,46,Gwangju,9MUSES A,,F,,pyopyohyemi,
Minha,Park Minha,박민하,민하,6/27/91,,South Korea,,172,47,Seoul,,9Muses,F,,blossomh_,
Sojin,Jo Sojin,조소진,소진,10/11/91,9Muses,South Korea,,170,47,Gwangju,9MUSES A,,F,,josojin_1011,
Keumjo,Lee Keumjo,이금조,금조,12/17/92,9Muses,South Korea,,167,48,Daegu,9MUSES A,,F,,keumjo_1217,
Sowon,Kim Sojung,김소정,소원,12/7/95,Gfriend,South Korea,,172,0,Seoul,,,F,,,
Yerin,Jung Yerin,정예린,예린,8/19/96,Gfriend,South Korea,,167,0,Incheon,,,F,,,
Eunha,Jung Eunbi,정은비,은하,5/30/97,VIVIZ,South Korea,,163,0,Seoul,,Gfriend,F,,,
Yuju,Choi Yuna,최유나,유주,10/4/97,Gfriend,South Korea,,169,0,Goyang,,,F,,,
SinB,Hwang Eunbi,황은비 ,신비,6/3/98,VIVIZ,South Korea,,165,0,Cheongju,,Gfriend,F,,,
Umji,Kim Yewon,김예원,엄지,8/19/98,VIVIZ,South Korea,,163,0,Incheon,,Gfriend,F,,,
Victoria,Song Qian,송치엔,빅토리아,2/2/87,f(x),China,,168,45,Qingdao,,,F,,victoria02_02,
Amber,Amber Josephine Liu,엠버 조세핀 리우,엠버,9/18/92,f(x),USA,Taiwan,167,0,Los Angeles,,,F,,ajol_llama,
Luna,Park Sunyoung,박선영,루나,8/12/93,f(x),South Korea,,162,0,Seoul,,,F,,hermosavidaluna,
Krystal,Krystal Jung,크리스탈 정,크리스탈,10/24/94,f(x),South Korea,,165,0,San Francisco,,,F,,vousmevoyez,
Irene,Bae Juhyun,배주현,아이린,3/29/91,Red Velvet,South Korea,,161,0,Daegu,Red Velvet - IRENE SEULGI,,F,,,
Seulgi,Kang Seulgi,강슬기,슬기,2/10/94,Red Velvet,South Korea,,162,0,Seoul,Red Velvet - IRENE SEULGI,,F,,,
Wendy,Son Seunghwan,손승완,웬디,2/21/94,Red Velvet,South Korea,,160,0,Seoul,,,F,,,
Joy,Park Sooyoung,박수영,조이,9/3/96,Red Velvet,South Korea,,163,0,Jeju,,,F,,,
Yeri,Kim Yerim,김예림,예리,3/5/99,Red Velvet,South Korea,,158,0,Seoul,,,F,,,
BoA,Kwon Boa,권보아,보아,11/5/86,,South Korea,,0,0,Guri,,,F,,boakwon,
Ailee,Lee Yejin,이예진,에일리,5/30/89,,South Korea,USA,165,0,Denver,,,F,,aileeonline,
G.NA,Gina Jane Choi,최지나,지나,9/13/87,,Canada,South Korea,167,0,Edmonton,,,F,,missginachoi87,
Taeha,Yoo Taeha,유태하,태하,10/5/95,,South Korea,,162,0,,,Berry Good,F,,,
Seoyul,Seo Yuri,서유리,서율,11/26/97,Berry Good,South Korea,,163,0,,,,F,,,
Daye,Kim Hyunjung,김현정,다예,2/25/98,Berry Good,South Korea,,167,0,,,,F,,,
Sehyung,Kang Sehyung,강세형,세형,12/13/98,Berry Good,South Korea,,169,0,,,,F,,,
Gowoon,Moon Joojeong,문유정,고운,12/18/98,Berry Good,South Korea,,167,0,,,,F,,,
Hyangsuk,Lee Hyangsuk,이향숙,향숙,4/24/91,2EYES,South Korea,,165,0,Seoul,,,F,,baby_sook,
Daeun,Jung Daeun,정다은,정다은,6/3/94,2EYES,South Korea,,161,0,Bucheon,,,F,,da.ni_jung,
Dasom,Lee Dasom,이다솜,다솜,11/13/93,2EYES,South Korea,,164,0,Cheongju,,,F,,,
Hyerin,Kim Hyerin,김혜린,혜린,6/13/93,2EYES,South Korea,,170,0,Seoul,,,F,,hyelyn0723,
IU,Lee Jieun,이지은,아이유,5/16/93,,South Korea,,162,0,Seoul,,,F,,dlwlrma,
Jei,Kim Jinhee,김진희,재이,9/5/89,Fiestar,South Korea,,162,0,Bucheon,,,F,,kimjeii,
Cao Lu,Cao Lu,차오루,차오루,8/30/87,Fiestar,China,,166,0,Zhangjiajie,,,F,,better_me_lulu,
Linzy,Im Minji,임민지,린지,10/22/89,Fiestar,South Korea,,168,0,Incheon,,,F,,linzy_minji,
Hyemi,Kim Hyemi,김혜미,혜미,8/10/90,Fiestar,South Korea,,161,0,Seoul,,,F,,hyemi_haaaaam,
Yezi,Lee Yeji,이예지,예지,8/26/94,Fiestar,South Korea,,161,0,Gangneung,,,F,,-,fiestar__yezi
Hana,Shin Bora,신보라,하나,4/30/93,Gugudan,South Korea,,0,0,,,,F,,,
Mimi,Jung Mimi,정미미,미미,1/1/93,Gugudan,South Korea,,163,0,,,,F,,,
Haebin,Han Haebin,한해빈,해빈,8/16/95,Gugudan,South Korea,,0,0,,,,F,,,
Nayoung,Kim Nayoung,김나영,나영,11/23/95,Gugudan,South Korea,,169,50,,,,F,,,
Sejeong,Kim Sejeong,김세정,세정,8/28/96,Gugudan,South Korea,,164,48,,,I.O.I,F,,,
Sally,Liu Xiening,류셰닝,샐리,10/23/96,Gugudan,China,,0,0,Guangdong,,,F,,,
Soyee,Jang Sojin,장소진,소이,11/21/96,Gugudan,South Korea,,0,0,,,,F,,,
Mina,Kang Mina,강미나,미나,12/4/99,Gugudan,South Korea,,162,48,Icheon,Gugudan Oguogu,I.O.I,F,,,
Hyeyeon,Cho Hyeyeon,조혜연,혜연,8/5/00,,South Korea,,0,0,,Gugudan Oguogu,Gugudan,F,,,
Hyojung,Choi Hyojung,최효정,효정,7/28/94,Oh My Girl,South Korea,,160,46,Yangyang,,,F,,,
JinE,Shin Hyejin,신혜진,진이,1/22/95,,South Korea,,160,48,Pohang,,Oh My Girl,F,,,
Mimi,Kim Mihyun,김미현,미미,5/1/95,Oh My Girl,South Korea,,163,50,Jeju,,,F,,,
Yooa,Yoo Siah,유시아,유아,9/17/95,Oh My Girl,South Korea,,160,50,Seoul,,,F,,,
Seunghee,Hyun Seunghee,현승희,승희,1/25/96,Oh My Girl,South Korea,,160,48,Chuncheon,,,F,,,
Jiho,Kim Jiho,김지호,지호,4/4/97,Oh My Girl,South Korea,,165,49,Okcheon,,,F,,,
Yubin,Bae Yubin,배유빈,유빈,9/9/97,Oh My Girl,South Korea,,161,49,Chuncheon,,,F,,,
Arin,Choi Yewon,최예원,아린,6/18/99,Oh My Girl,South Korea,,163,47,Busan,,,F,,,
Babysoul,Lee Soojung,이수정,베이비소울,7/6/92,Lovelyz,South Korea,,158,41,Gwangju,,,F,Leader,,
Jiae,Yoo Jiae,유지애,지애,5/21/93,Lovelyz,South Korea,,163,43,Seoul,,,F,,,
Jisoo,Seo Jisoo,서지수,지수,2/11/94,Lovelyz,South Korea,,165,46,Incheon,,,F,,,
Mijoo,Lee Mijoo,이미주,미주,9/23/94,Lovelyz,South Korea,,167,47,Okcheon,,,F,,,
Kei,Kim Jiyeon,김지연,케이,3/20/95,Lovelyz,South Korea,,162,47,Incheon,,,F,,,
JIN,Park Myungeun,박명은,진,6/12/96,Lovelyz,South Korea,,165,47,Busan,,,F,,,
Sujeong,Ryu Sujeong,류수정,수정,11/19/97,Lovelyz,South Korea,,168,48,Daejeon,,,F,,,
Yein,Jeong Yein,정예인,예인,6/4/98,Lovelyz,South Korea,,166,0,Incheon,,,F,,,
Yujeong,Kim Yujeong,김유정,유정,2/14/92,,South Korea,,161,42,Seoul,,LABOUM,F,Leader,,
Soyeon,Jung Soyeon,정소연,소연,5/4/94,LABOUM,South Korea,,161,44,Gwangju,,,F,Main Vocalist,,
ZN,Bae Jinye,배진예,지엔,6/9/94,LABOUM,South Korea,,169,48,Bucheon,UNI.T,,F,Main Dancer,,
Haein,Yeom Haein,염해인,해인,5/19/95,LABOUM,South Korea,,162,45,Ojeonggu,,,F,Lead Dancer,,
Solbin,Ahn Solbin,안솔빈,솔빈,8/19/97,LABOUM,South Korea,,169,52,Ojeonggu,,,F,Visual,,
Yulhee,Kim Yulhee,김율희,율희,11/27/97,,South Korea,,166,52,Bucheon,,LABOUM,F,Main Rapper,,
Boram,Jeon Boram,전보람,보람,3/22/86,,South Korea,,155,45,Seoul,,T-ara,F,,bo_ram_0322,
Qri,Lee Jihyun,이지현,큐리,12/12/86,T-ara,South Korea,,162,44,Goyang,,,F,,qtfreet,
Soyeon,Park Soyeon,박소연,소연,10/5/87,,South Korea,,163,46,Andong,,T-ara,F,,melodysoyani,
Eunjung,Ham Eunjung,함은정,은정,12/12/88,T-ara,South Korea,,167,47,Seoul,,,F,,sweetgirl_eunjung,
Hyomin,Park Sunyoung,박선영,효민,5/30/89,T-ara,South Korea,,167,43,Busan,,,F,,hyominnn,
Jiyeon,Park Jiyeon,박지연,지연,6/7/93,T-ara,South Korea,,167,45,Seoul,,,F,,jiyeon2__,
Solar,Kim Yongsun,김용선,솔라,2/21/91,Mamamoo,South Korea,,163,43,Seoul,,,F,Leader,,
Moonbyul,Moon Byulyi,문별이,문별,12/22/92,Mamamoo,South Korea,,165,45,Bucheon,,,F,Main Rapper,,
Wheein,Jung Wheein,정휘인,휘인,4/17/95,Mamamoo,South Korea,,162,43,Jeonju,,,F,Lead Vocalist,,
Hwasa,Ahn Hyejin,안혜진,화사,7/23/95,Mamamoo,South Korea,,162,44,Jeonju,,,F,Lead Vocalist,,
Yeoeun,Jung Jieun,정지은,여은,1/25/90,MELODYDAY,South Korea,,169,0,,,,F,Leader,yeosilver,
Yein,Ahn Yein,안예인,예인,5/4/95,MELODYDAY,South Korea,,168,0,,,,F,Lead Vocalist,yen_thankful954,
Chahee,Park Sooyoung,박수영,차희,3/24/96,MELODYDAY,South Korea,,167,0,,,,F,Sub Vocalist,hichaheebye,
Yoomin,Na Yoomin,나유민,유민,8/29/93,MELODYDAY,South Korea,,165,0,,,,F,Main Rapper,im.umin,
Elkie,Chong Ting Yan,쫑딩얀,엘키,11/2/98,,Hong Kong,,163,45,Hong Kong,,CLC,F,,,
Eunbin,Kwon Eunbin,권은빈,은빈,1/6/00,CLC,South Korea,,167,48,Seoul,,,F,,,
Jisoo,Kim Jisoo,김지수,지수,1/3/95,BLACKPINK,South Korea,,162,45,Seoul,,,F,,,
Jennie,Kim Jennie,김제니,제니,1/16/96,BLACKPINK,South Korea,,163,50,Anyang,,,F,,,
Rosé,Roseanne Park,로잔느 박,로제,2/11/97,BLACKPINK,South Korea,,167,0,Auckland,,,F,,,
Lisa,Pranpriya Manoban,쁘란쁘리야 마노반,리사,3/27/97,BLACKPINK,Thailand,,170,46,Bangkok,,,F,,,
Hyeji,Jeong Hyeji,정혜지,혜지,4/2/92,4TEN,South Korea,,0,0,Seoul,,,F,,,
Heeo,Gwak Heeoh,곽히오,히오,5/2/94,4TEN,South Korea,,0,0,,,,F,,,
Yoon,Heo Yoon,허윤,윤,9/23/94,4TEN,South Korea,,0,0,,,,F,,,
Hyejin,Baek Hyejin,백혜진,혜진,11/21/96,4TEN,South Korea,,0,0,Sacheon,,,F,,,
Uee,Kim Yujin,김유진,유이,4/9/88,,South Korea,,0,0,Daegu,,After School,F,,,
Raina,Oh Hyerin,오혜린,레이나,5/7/89,After School,South Korea,,0,0,Ulsan,Orange Caramel,,F,,raina_57,
Nana,Im Jinah,임진아,나나,9/14/91,After School,South Korea,,0,0,Cheongju,Orange Caramel,,F,,jin_a_nana,
Lizzy,Park Sooyoung,박수영,리지,7/31/92,After School,South Korea,,0,0,Busan,Orange Caramel,,F,,luvlyzzy,
E-Young,Noh Yiyoung,노이영,이영,8/16/92,After School,South Korea,,0,0,Chuncheon,,,F,,e_young0816,
Kaeun,Lee Kaeun,이가은,가은,8/20/94,After School,South Korea,,0,0,Seoul,,,F,,realkkaaanngg,
Kahi,Park Jiyoung,박지영,가희,12/25/80,,South Korea,,0,0,Daegu,,After School,F,,imisskahi,
Jooyeon,Lee Jooyeon,이주연,주연,3/19/87,,South Korea,,0,0,Seoul,,After School,F,,jupppal,
Jungah,Kim Jungah,김정아,정아,8/2/83,,South Korea,,0,0,Incheon,,After School,F,,i_am_jjunga,
Soyoung,Yoo Soyoung,유소영,소영,3/29/96,,South Korea,,0,0,Seoul,,After School,F,,ssossolovely,
Bekah,Rebecca Kim,김레베카,베카,8/11/89,,South Korea,USA,0,0,Honolulu,,After School,F,,,
Chaewon,Kim Chaewon,김채원,채원,11/8/97,APRIL,South Korea,,0,0,Gongju,,,F,,,
Naeun,Lee Naeun,이나은,나은,5/5/99,APRIL,South Korea,,0,0,Daejeon,,,F,,,
Yena,Yang Yena,양예나,예나,5/22/00,APRIL,South Korea,,0,0,Daegu,,,F,,,
Jinsol,Lee Jinsol,이진솔,진솔,12/4/01,APRIL,South Korea,,0,0,Andong,,,F,,,
Hyunjoo,Lee Hyunjoo,이현주,현주,2/5/98,UNI.T,South Korea,,0,0,Seoul,,APRIL,F,,,
Monika,Kang Yeh,강예,모니카,5/21/91,BADKIZ,South Korea,,0,0,Seoul,,,F,,maygirl_nika,
LuA,Jo Hankyeung,조한경,루아,9/14/91,BADKIZ,South Korea,,0,0,Busan,,,F,,,
K.Me,Na Miri,나미리,케이미,4/10/92,BADKIZ,South Korea,,0,0,Yeosu,,,F,,k.me93,
Somin,Jang Somin,장소민,소민,11/10/93,BADKIZ,South Korea,,0,0,Gwangmyeon,,,F,,somin.92,
U-Si,Yoo Jiyeon,윤지연,유시,11/13/97,BADKIZ,South Korea,,0,0,Iksan,,,F,,_u_si,
Gabin,Kim Gabin,김가빈,가빈,9/18/89,Blady,South Korea,,0,0,Busan,,,F,,_kimgabin,
Dayoung,Kim Dayoung,김다영,다영,2/2/91,Blady,South Korea,,0,0,Jeonju,,,F,,loloola22_,
Giru,Park Giru,박기루,기루,8/14/91,Blady,South Korea,,0,0,Incheon,,,F,,giru_p,
Tina,Christine Joy Park,크리스틴 조이 박,티나,9/1/94,Blady,USA,South Korea,0,0,Los Angeles,,,F,,nuhmootina,
Yeeun,Hwang Yeeun,황예은,예은,1/12/97,Blady,South Korea,,0,0,Gimhae,,,F,,yeeuneeeee_,
Minyoung,Kim Minyeong,김민영,민영,9/12/90,Brave Girls,South Korea,,0,0,Seongnam,,,F,,,
Yujeong,Nam Yujeong,남유정,유정,5/2/91,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
Eunji,Hong Eunji,홍은지,은지,7/19/92,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
Yoojin,Jang Yoojin,정유진,유진,9/14/92,,South Korea,,0,0,,,Brave Girls,F,,yoojinbabe,
Yuna,Lee Yuna,이유나,유나,4/6/93,Brave Girls,South Korea,,0,0,Seoul,,,F,,,
Hyeran,Noh Hyeran,노혜란,혜란,4/9/93,,South Korea,,0,0,,,Brave Girls,F,,hrannnoh,
Hayun,Lee Hayun,이하윤,하윤,8/29/94,,South Korea,,0,0,Changwon,,Brave Girls,F,,hayoon.y,
Bona,Kim Jiyeon,김지연,보나,8/19/95,Cosmic Girls,South Korea,,163,0,Daegu,WJSN The Black,,F,,,
Cheng Xiao,Cheng Xiao,청샤오,성소,7/15/98,Cosmic Girls,China,,167,0,Shenzhen,,,F,,chengxiao_0715,
Dayoung,Im Dayoung,임다영,다영,5/14/99,Cosmic Girls,South Korea,,161,0,Jeju,WJSN Chocome,,F,,,
Xuanyi,Wu Xuanyi,우쉬안이,선의,1/26/95,Cosmic Girls,China,,166,0,Hainan,,,F,,,
Eunseo,Son Juyeon,손주연,은서,5/27/98,Cosmic Girls,South Korea,,167,0,Incheon,WJSN The Black,,F,,_eunseo_v,
Yeoreum,Lee Jinsook,이진숙,여름,1/10/99,Cosmic Girls,South Korea,,161,0,Seoul,WJSN Chocome,,F,,,
Seola,Kim Hyunjung,김현정,설아,12/24/94,Cosmic Girls,South Korea,,165,0,Seoul,"WJMK, WJSN The Black",,F,,seola_s,
Exy,Chu Sojung,추소정,엑시,11/6/95,Cosmic Girls,South Korea,,166,0,Busan,WJSN The Black,,F,Leader,exy_s2,
Soobin,Park Soobin,박수빈,수빈,9/14/96,Cosmic Girls,South Korea,,159,0,Seoul,WJSN Chocome,,F,,,
Luda,Lee Luda,이루다,루다,3/6/97,Cosmic Girls,South Korea,,157,0,Seoul,"WJSN Chocome, WJMK",,F,,,
Dawon,Nam Dawon,남다원,다원,3/16/97,Cosmic Girls,South Korea,,167,0,Seoul,,,F,,,
Meiqi,Meng Meiqi,멍메이치,미기,10/15/98,Cosmic Girls,China,,164,0,Luoyang,,,F,,,
Yeonjung,Yu Yeonjung,유연정,연정,8/3/99,Cosmic Girls,South Korea,,167,52,Gwangmyeong,,I.O.I,F,,uyj_s,
Geummi,Baek Boram,백보람,금미,6/18/88,Crayon Pop,South Korea,,165,0,Seoul,,,F,Leader,g.mi,
Ellin,Kim Minyoung,김민영,엘린,4/2/90,Crayon Pop,South Korea,,165,44,Daegu,,,F,,hiellin,
Choa,Heo Minjin,허민진,초아,7/12/90,Crayon Pop,South Korea,,161,0,Seoul,,,F,,,
Way,Heo Minsun,허민선,웨이,7/12/90,Crayon Pop,South Korea,,161,0,Seoul,,,F,,baysunny,
Soyul,Park Hyekyeong,박혜경,소율,5/15/91,Crayon Pop,South Korea,,160,0,Seoul,,,F,,,
Hanna,Shin Jiyeon,신지연,한나,2/19/94,MIXX,South Korea,,170,48,,,,F,Leader,,
Henny,Kang Gayoung,강가영,헤니,12/1/94,,South Korea,,168,50,,,MIXX,F,,,
Arie,Jeon Minjae,전민재,아리,4/7/00,MIXX,South Korea,,163,45,,,,F,,,
Liyah,Moon Liya,문리야,리야,5/11/00,MIXX,South Korea,,175,52,,,,F,,,
Jiu,Kim Minji,김민지,지유,5/17/94,Dreamcatcher,South Korea,,167,0,Daejeon,,Minx,F,Leader,,
